,spline,x,y,kappa
3280,0.0,16.23281054277718,32.741379904615094,-0.0737137939491325
3320,0.0,17.192992495623276,31.99464600256985,-0.0648686888801459
3360,0.0,17.920074398381836,31.255393394558123,-0.0702016967425338
3400,0.0,18.784580185434063,30.275742513168503,-0.0494387172444893
3440,0.0,19.51061467381478,29.071211424057136,-0.0315332560607705
3480,0.0,20.05656595581968,28.014434313446763,-0.0367380550248123
3520,0.0,20.69166331187042,26.790574489242875,-0.0071589528898901
3560,0.0,21.12247130126524,25.78512488841541,-0.0079368036300595
3600,0.0,21.615798761334567,24.52777685616562,-0.0158110379149967
3640,0.0,21.942949944375048,23.11628200247397,-0.0091551452334724
3680,0.0,22.250098042164957,21.893241234875465,-0.0013591378901651
3720,0.0,22.44847423979528,20.324156365269683,-0.0275992621741635
3760,0.0,22.77925841837723,19.07412939010342,-0.0383313154829125
