Centerline_X,Centerline_Y
60.33853313066416,-2.0213388218776394
60.79634942092845,-1.6448032571909077
61.25232036480912,-1.2654066711349
61.70620568277266,-0.8828823720414672
62.15774330300866,-0.4969797198049234
62.606671153614094,-0.10744807438777615
63.05272716268591,0.28596320424743205
63.49564925832108,0.6835047561381854
63.93517536861659,1.0854272213219671
64.37104342166941,1.4919812398362309
64.80299134557649,1.903417451718473
65.23075706843478,2.319986497006147
65.43531218943303,2.545233341937768
65.8566372515258,2.968785238846403
66.27313943976736,3.3979418909291526
66.68455668225471,3.8329539382235014
67.09062690708483,4.274072020766935
67.49109415724678,4.72148314230258
67.88573146619515,5.175072609379866
68.27432045001169,5.6346364110949665
68.45964165660227,5.871856248875401
68.83903531290062,6.338554872353086
69.21182734986712,6.810790422956053
69.57779938489989,7.288358876081148
69.93673303539705,7.771056207125213
70.28840991875684,8.258678391485116
70.63261165237732,8.751021404557713
70.79498541155323,8.99717630000189
71.12774929007372,9.495195120768102
71.4524847246549,9.997497362734432
71.76897333269488,10.503879001297758
72.07699673159188,11.014136011854934
72.376336538744,11.52806436980282
72.51450318233728,11.780729796175034
72.80097713601211,12.29888712009513
73.07989807886736,12.819501742340716
73.35232672752348,13.34177968861995
73.61932379860089,13.86492698464098
73.88195000872008,14.388149656111977
74.01339096648664,14.636271031138946
74.27580483305763,15.155777452453849
74.53835568053591,15.67255971033235
74.80348046838478,16.185157791332532
75.07361647130026,16.692111529454156
75.35120096397833,17.191960758696943
75.63867122111498,17.683245313060674
75.9384645174062,18.16450502654507
76.25301812754802,18.63427973314989
76.5847693262364,19.091109266874895
77.08192756210303,19.77814926334154
77.46417020159979,20.197114356457575
78.2365085484486,21.026528821383657
79.14711740622089,21.749012216498727
79.91900855412166,22.22352930856468
80.7314194320026,22.662139618415043
81.29014124709184,22.943583545312237
81.85401576178707,23.218414550332326
82.41813479243339,23.489474179946285
82.97759015537596,23.759603980625123
83.52747366695988,24.031645498839797
84.0628771435303,24.30844028106131
84.34986274927893,24.446324659750623
84.85789188157747,24.734114402419344
85.3393764812273,25.033584927495916
85.5956593191892,25.185403032470482
86.03096068595565,25.506529312772372
86.25553436043248,25.673858695898936
86.63299991968427,26.023215554274195
86.81728095206103,26.210799230748165
87.12845402309357,26.593127858412124
87.27158393944629,26.801276652220366
87.39522029906843,27.01901906491986
87.6210992295461,27.443470530815194
87.70791259366202,27.67902223553974
87.8715145803425,28.13374800823871
87.92439043955866,28.38527174397834
87.9613796053024,28.64409252234679
88.05244137550528,29.132867236932306
88.05982127225906,29.404904154800946
88.0999214734083,29.916866992285364
88.08057759177859,30.200282788644223
88.07468680517408,30.732329287921225
88.03150463576739,31.02528670176038
87.98459344270897,31.574312401723642
87.91102676410432,32.13404963591037
87.81361106329845,32.70277188897174
87.73140879015732,33.009300754741645
87.60499893619068,33.58752608618022
87.46107435936443,34.17082409054321
87.30243859276462,34.757469973214356
87.13133239062799,35.34606941956459
86.94876842505079,35.93594928025108
86.75559738841,36.52653152509832
86.55266997308249,37.117238123930875
86.34083687144522,37.70749104657324
86.12094877587515,38.296712262849994
85.89385637874912,38.88432374258565
85.66041037244415,39.46974745560475
85.42146144933704,40.05240537173182
85.17785996820481,40.63171963123636
84.93022841424768,41.207228800934814
84.67856481505774,41.77879049930437
84.42276118687444,42.34631650878413
84.16270954593718,42.90971861181322
84.03744283756527,43.19164006920658
83.77315240342679,43.747318615078655
83.50416068552741,44.29872731674038
83.23035970010653,44.84577795663088
82.95164146340362,45.38838231718927
82.66789799165808,45.92645218085464
82.37902130110939,46.459899330066115
82.24959164272713,46.717881200045326
81.9539298285269,47.24331946563123
81.65268152451651,47.76398907900361
81.34573874693538,48.279801822601485
81.03299351202298,48.790669478864054
80.89347121334313,49.03246656441025
80.57208509882177,49.53515545097626
80.24444325596212,50.03275331244727
79.91043770100364,50.52517193126239
79.56996045018573,51.012323089860715
79.41441292406174,51.23869782502624
79.06342714934524,51.717472036400935
78.70541999258435,52.19060340417697
78.34017151558265,52.65773728536419
77.96746172930919,53.11851891599809
77.78995638859445,53.3302337348353
77.4044618306425,53.781467859771894
77.01082868187099,54.22567070358812
76.60883695324893,54.662487502319394
76.4094938981161,54.86302334061165
75.99287091329333,55.289380828562415
75.5672120670722,55.707673240861226
75.13229737042175,56.1175458135435
74.68790683431102,56.51864378264467
74.45592730772361,56.705892085902825
73.99464044154254,57.09526747789251
73.52365463096237,57.47487011014354
73.04337768149496,57.843904101072845
72.55421978085988,58.20157189524734
72.05659111677673,58.54707593723407
71.55090187696507,58.87961867160003
71.03756224914449,59.198402542912206
70.75746194491254,59.354427001427766
70.23260751582234,59.652915426209645
69.70131594742708,59.93563758296537
69.1639974274463,60.20179591626196
68.62106214359964,60.450592870666384
68.07292028360663,60.68123089074567
67.5199820351869,60.89291242106681
66.96265758605999,61.08483990619677
66.65936092539718,61.18340790538639
66.09692884841994,61.34574640899788
65.53132381943935,61.48632346244586
64.96295602617505,61.6043415102973
64.39223565634657,61.69900299711922
63.81957289767357,61.76951036747862
63.515379646804526,61.80766966970715
62.942411958517134,61.84172792940912
62.368772069883306,61.85009859753012
61.79498968085407,61.8329788608048
61.49805616847465,61.82261981626563
60.92746187421299,61.76707803729779
60.358086264932595,61.68630453353852
59.79001367421723,61.58150058488819
59.5049046447032,61.51975370889757
58.94090847313048,61.38094805353852
58.37809426866856,61.22158033288413
57.816468550681364,61.04302032910163
57.25603783853275,60.8466378243582
56.98342231326726,60.735473881056095
56.42628955662489,60.51494168984057
55.87023075436687,60.28005537725983
