car_position/0,car_position/1,car_direction/0,car_direction/1,V_x,V_y,V_T
0.716552734,-6.804016113,-0.143167153,0.989698523,18.17840577,27.98797608,33.37336125
0.544204712,-5.368682861,-0.106990853,0.994260005,13.78684997,28.70666504,31.84571949
0.418869019,-3.902282715,-0.075213014,0.99716749,10.46522522,29.32800292,31.13924685
0.32723999,-2.405838013,-0.053772162,0.998553231,8.05014039,29.92889404,30.99263556
0.246917725,-0.881088257,-0.050478975,0.998725124,6.297882075,30.49499512,31.13852993
0.183456421,0.671463013,-0.038265834,0.999267595,4.754898079,31.0510254,31.41297875
0.149291992,2.251083374,-0.015383604,0.999881665,3.519836428,31.59240722,31.78788201
0.142959595,3.857269287,0.003105835,0.999995177,2.842880245,32.12371826,32.24926732
0.162826538,5.488174438,0.018233589,0.999833754,2.696365362,32.61810302,32.72936038
0.2134552,7.30960083,0.033942735,0.999423779,3.04307556,36.42852784,36.5554093
0.27822876,8.819992065,0.047922191,0.998851072,3.99087524,30.2078247,30.47030946
0.378234863,10.51792908,0.06615989,0.997809034,5.186340337,33.9587403,34.35249873
0.503814697,12.23617554,0.079483874,0.996836152,7.060882563,34.3649292,35.08282231
0.663284302,14.15042114,0.08752853,0.996162013,9.413009638,38.284912,39.42510922
0.80758667,15.73013306,0.09369817,0.995600649,12.45809937,31.5942384,33.96174524
0.980102539,17.47775269,0.101290999,0.994856841,15.17163086,34.9523926,38.10312496
1.159301758,19.16862488,0.108763039,0.994067705,18.44274902,33.8174438,38.51953396
1.320388794,20.5874939,0.116078263,0.99324007,21.86564637,28.3773804,35.82432427
1.511154175,22.16419983,0.123289667,0.992370726,24.89662171,31.5341186,40.17763567
1.67388916,23.44845581,0.127212919,0.991875432,28.54919434,25.6851196,38.40288878
1.828781128,24.62815857,0.130060101,0.991506112,31.64900207,23.5940552,39.47579984
1.984283447,25.77174377,0.133871404,0.990998712,34.59133911,22.871704,41.46897136
2.156478882,26.89932251,0.150298641,0.988640642,37.52919006,22.5515748,43.78371424
2.384078979,28.00332642,0.201684798,0.97945048,40.74549866,22.0800782,46.34355958
2.713119507,29.06217957,0.296928141,0.954899827,44.96846007,21.177063,49.70543631
3.158920288,30.05151367,0.412445819,0.910982133,51.10346985,19.786682,54.80034138
3.719238281,30.9498291,0.536985237,0.84359164,59.45916748,17.9663086,62.11425635
4.384246826,31.73738098,0.658516308,0.752566457,70.00051879,15.7510376,71.75073391
4.675811768,32.01771545,0.703941734,0.710257724,83.00912475,5.6066894,83.19825574
5.786422729,32.85536194,0.823373785,0.567499436,87.72981263,16.7529298,89.31506413
6.665008545,33.33045959,0.879114093,0.476611385,109.063446,9.501953,109.4765837
8.310089111,33.92242432,0.948567302,0.316575543,124.9900818,11.8392946,125.5495497
9.853805542,34.18678284,0.989065961,0.147473811,156.3479767,5.2871704,156.4373484
10.8760376,34.19108582,0.999964797,0.008390761,186.2000732,0.0860596,186.2000931
11.86584473,34.0539093,0.989822461,-0.142307752,205.6549073,2.7435304,205.6732064
12.80677795,33.78041077,0.959376367,-0.282129379,224.5101167,5.4699706,224.576742
13.61891174,33.43009949,0.922366315,-0.386316425,242.5166473,7.0062256,242.6178299
14.40289307,32.98867798,0.876208625,-0.481931993,257.9753417,8.8284302,258.1263608
15.40605164,32.26887512,0.810536503,-0.585688123,272.6518098,14.3960572,273.0316023
16.20849609,31.5753479,0.760785212,-0.649003745,291.9125367,13.8705444,292.241888
16.90019226,30.88052368,0.712059394,-0.702119234,307.2697295,13.8964844,307.583808
17.70510864,29.94827271,0.652441761,-0.757838867,320.2987366,18.6450194,320.8409534
18.3218689,29.11825562,0.598724435,-0.800955086,335.7803039,16.6003418,336.1903982
19.02334595,28.02641296,0.534738023,-0.845017897,347.4140321,21.8368532,348.0996378
19.69192505,26.86663818,0.493860178,-0.86954133,360.774994,23.1954956,361.519885
20.2749176,25.75857544,0.462359306,-0.886692659,373.5635834,22.1612548,374.2203523
20.83329773,24.60092163,0.430020621,-0.902819066,384.6650543,23.1530762,385.3612187
21.36251831,23.39379883,0.395536913,-0.918450081,395.3034363,24.142456,396.0399789
21.818573,22.26861572,0.37087599,-0.9286824,405.4317932,22.5036622,406.0558505
22.30253601,20.9810791,0.345733466,-0.938332761,414.068924,25.7507324,414.8688637
22.73382568,19.70239258,0.310125401,-0.950695659,423.3168945,25.5737304,424.0886804
23.06152344,18.47454834,0.239853159,-0.970809179,431.6149902,24.5568848,432.313012
23.26330566,17.25550842,0.139622692,-0.990204779,437.9671631,24.3807984,438.6452545
23.32670593,16.04518127,0.022744276,-0.999741316,441.9394073,24.206543,442.6018486
23.24493408,14.86286926,-0.103409735,-0.994638842,443.2891845,23.6462402,443.9194136
23.0168457,13.7277832,-0.236014864,-0.971749445,441.8818359,22.7017212,442.4646032
22.64439392,12.65415955,-0.367552399,-0.930002814,437.6925201,21.472473,438.2189056
22.14242554,11.63829041,-0.478457054,-0.878110954,430.7454529,20.3173828,431.2243514
21.45350647,10.57730103,-0.57328523,-0.819355872,421.3950043,21.2197876,421.9289384
